time,open,high,low,close,tick_volume
2025-01-01 00:00:00,1.1000,1.1005,1.0995,1.1002,1500
2025-01-01 01:00:00,1.1002,1.1010,1.0998,1.1007,1600
2025-01-01 02:00:00,1.1007,1.1012,1.1000,1.1005,1400
2025-01-01 03:00:00,1.1005,1.1008,1.0996,1.1000,1300
2025-01-01 04:00:00,1.1000,1.1006,1.0994,1.1003,1200
2025-01-01 05:00:00,1.1003,1.1009,1.0999,1.1006,1500
2025-01-01 06:00:00,1.1006,1.1011,1.1002,1.1008,1700
2025-01-01 07:00:00,1.1008,1.1013,1.1004,1.1010,1800
2025-01-01 08:00:00,1.1010,1.1015,1.1006,1.1012,1900
2025-01-01 09:00:00,1.1012,1.1017,1.1008,1.1014,2000
2025-01-01 10:00:00,1.1014,1.1019,1.1010,1.1016,2100
2025-01-01 11:00:00,1.1016,1.1021,1.1012,1.1018,2200
2025-01-01 12:00:00,1.1018,1.1023,1.1014,1.1020,2300
2025-01-01 13:00:00,1.1020,1.1025,1.1016,1.1022,2400
2025-01-01 14:00:00,1.1022,1.1027,1.1018,1.1024,2500
2025-01-01 15:00:00,1.1024,1.1029,1.1020,1.1026,2600
2025-01-01 16:00:00,1.1026,1.1031,1.1022,1.1028,2700
2025-01-01 17:00:00,1.1028,1.1033,1.1024,1.1030,2800
2025-01-01 18:00:00,1.1030,1.1035,1.1026,1.1032,2900
2025-01-01 19:00:00,1.1032,1.1037,1.1028,1.1034,3000
2025-01-01 20:00:00,1.1034,1.1039,1.1030,1.1036,3100
2025-01-01 21:00:00,1.1036,1.1041,1.1032,1.1038,3200
2025-01-01 22:00:00,1.1038,1.1043,1.1034,1.1040,3300
2025-01-01 23:00:00,1.1040,1.1045,1.1036,1.1042,3400
2025-01-02 00:00:00,1.1042,1.1047,1.1038,1.1044,3500
2025-01-02 01:00:00,1.1044,1.1049,1.1040,1.1046,3600
2025-01-02 02:00:00,1.1046,1.1051,1.1042,1.1048,3700
2025-01-02 03:00:00,1.1048,1.1053,1.1044,1.1050,3800
2025-01-02 04:00:00,1.1050,1.1055,1.1046,1.1052,3900
2025-01-02 05:00:00,1.1052,1.1057,1.1048,1.1054,4000
2025-01-02 06:00:00,1.1054,1.1059,1.1050,1.1056,4100
2025-01-02 07:00:00,1.1056,1.1061,1.1052,1.1058,4200
2025-01-02 08:00:00,1.1058,1.1063,1.1054,1.1060,4300
2025-01-02 09:00:00,1.1060,1.1065,1.1056,1.1062,4400
2025-01-02 10:00:00,1.1062,1.1067,1.1058,1.1064,4500
2025-01-02 11:00:00,1.1064,1.1069,1.1060,1.1066,4600
2025-01-02 12:00:00,1.1066,1.1071,1.1062,1.1068,4700
2025-01-02 13:00:00,1.1068,1.1073,1.1064,1.1070,4800
2025-01-02 14:00:00,1.1070,1.1075,1.1066,1.1072,4900
2025-01-02 15:00:00,1.1072,1.1077,1.1068,1.1074,5000
2025-01-02 16:00:00,1.1074,1.1079,1.1070,1.1076,5100
2025-01-02 17:00:00,1.1076,1.1081,1.1072,1.1078,5200
2025-01-02 18:00:00,1.1078,1.1083,1.1074,1.1080,5300
2025-01-02 19:00:00,1.1080,1.1085,1.1076,1.1082,5400
2025-01-02 20:00:00,1.1082,1.1087,1.1078,1.1084,5500
2025-01-02 21:00:00,1.1084,1.1089,1.1080,1.1086,5600
2025-01-02 22:00:00,1.1086,1.1091,1.1082,1.1088,5700
2025-01-02 23:00:00,1.1088,1.1093,1.1084,1.1090,5800
